name,url,tag,country,location,latitude,longitude
Madikwe Game Reserve,https://youtu.be/DsNtwGJXTTs,Africa,South Africa,Madikwe Game Reserve,-24.759908603843932,26.2777502150771
Red Panda Forest Park,https://youtu.be/Ihr_nwydXi0,Other,China,Sichuan,36.894451,104.165649
Cape Fear,https://youtu.be/og8bbxl0iW8,Sea,United States of America,North Carolina,33.84036368715509,-77.96017936931513
Hanson Island,https://youtu.be/4ElanH9Gzjw,Sea,Canada,British Columbia,50.57296417606637,-126.74495624561433
Southwest Florida,https://youtu.be/9pmsuKWKf90,Other,United States of America,Florida,30.24933369136408,-81.95543699905481
Charlo,https://youtu.be/LTz8tav2SCw,Other,United States of America,Montana,47.43928838613744,-114.17340944438271
Decorah,https://youtu.be/IVmL3diwJuw,Other,United States of America,Iowa,43.302701345121655,-91.78633571656665
Stony Point Nature Reserve,https://youtu.be/StGk_2DA5ig,Other,South Africa,Stony Point Nature Reserve,-34.37277608922915,18.893980246027333
Emangusi,https://youtu.be/VUJbDTIYlM4,Africa,South Africa,Emangusi,-27.196337625557074,32.54304972767714
Kimberly,https://youtu.be/3MlJEXOZTfo,Africa,South Africa,Kimberly,-28.74359448513289,24.766121842445386
Emangusi,https://youtu.be/_NXaovxB-Bk,Africa,South Africa,Emangusi,-27.196337625557074,32.54304972767714
GRACE Center,https://youtu.be/yfSyjwY6zSQ,Africa,"Congo, Democratic Republic of the",Kasugho,-0.27469770467914684,29.015571553182568
Laikipia County,https://youtu.be/KyQAB-TKOVA,Africa,Kenya,Laikipia County,0.3085604923692399,36.77997273508543
Laikipia County,https://youtu.be/O8xVFhgEv6Q,Africa,Kenya,Laikipia County,0.3085604923692399,36.77997273508543
Missoula,https://youtu.be/xWygD7kHTbY,Other,United States of America,Montana,46.86822418739354,-113.99482110370973
Ellie Schiller Homosassa Springs Wildlife State Park,https://youtu.be/yPSYdCWRWFA,Sea,United States of America,Florida,28.801041356814046,-82.5841612
Utopia Village on Utila,https://youtu.be/jzx_n25g3kA,Sea,Honduras,The Bay Islands,16.072665832493403,-86.9512551306849
Utopia Village on Utila,https://youtu.be/Kf-x20Yq0_A,Sea,Honduras,The Bay Islands,16.072665832493403,-86.9512551306849
Blue Spring State Park,https://youtu.be/Zern27X95Hg,Sea,United States of America,Florida,28.9470204080253,-81.33905074602734
Grasslands National Park,https://youtu.be/T-iBupPtIFw,Other,Canada,Saskatchewan,49.18639339478109,-107.20253734943672
Gondwana Namib Park,https://youtu.be/ydYDqZQpim8,Africa,Namibia,Namib desert,-23.06926378405682,15.155034078744832
Hoge Veluwe,https://youtu.be/E8ecY79xDME,Other,Netherlands,Gelderland,52.078834686613575,5.832617946027337
Monterey Bay Aquarium,https://youtu.be/kvEiF-TGXOQ,Sea,United States of America,California,36.61894226517666,-121.90177623863023
Monterey Bay Aquarium,https://youtu.be/OMlf71t2oV0,Sea,United States of America,California,36.61894226517666,-121.90177623863023
Hanson Island,https://youtu.be/-vK6dVJ7erU,Sea,Canada,British Columbia,50.579068972796556,-126.73997806589065
Anton Valley,https://youtu.be/VfFfS64rtZE,Other,Panama,Coclé,8.609110354340016,-80.13256068397415
Chyulu Hills,https://youtu.be/39uYW98qOV0,Africa,Kenya,Makueni County,-2.428431250813676,37.731299430684885
Mandikwe Game Reserve,https://youtu.be/cKe0WSZKYgQ,Africa,South Africa,Mandikwe Game Reserve,-24.760064484416187,26.277836046027335
Greater Kruger National Park,https://youtu.be/Cq2qCph6Lx8,Africa,South Africa,Greater Kruger National Park,-23.988208360932447,31.554697284657557
Tembe Elephant Park,https://youtu.be/VWB35c7XN7g,Africa,South Africa, Tembe Elephant Park,-27.0481346539615,32.42239751534244
Greater Kruger National Park,https://youtu.be/tn2LAEtFNbo,Africa,South Africa,Greater Kruger National Park,-23.988208360932447,31.554697284657557
Greater Kruger National Park,https://youtu.be/S4GIPXZnQTM,Africa,South Africa,Greater Kruger National Park,-23.988208360932447,31.554697284657557
Klaserie Private Nature Reserve,https://youtu.be/eZysNmy7dWI,Africa,South Africa,Klaserie Private Nature Reserve,-24.255874689651577,31.216632023287772
Zambezi National Park,https://youtu.be/I113nq5PmK4,Africa,Zimbabwe,Zambezi National Park,-17.977971550170615,25.710050153972663
Seal Island,https://youtu.be/wF_ytZyrW3w,Other,United States of America,Maine,43.886011808941866,-68.74134471931511
Decorah,https://youtu.be/ZFuWYnuu9I8,Other,United States of America,Iowa,43.30332596651794,-91.78599239427888
